PJMW_MW,Hour,DayOfWeek,Month,Year,DayOfYear,weekofyear,Is_Holiday
4986,23,4,4,2002,102,15,0
4566,0,5,4,2002,103,15,0
4289,1,5,4,2002,103,15,0
4106,2,5,4,2002,103,15,0
4015,3,5,4,2002,103,15,0
3934,4,5,4,2002,103,15,0
3928,5,5,4,2002,103,15,0
4080,6,5,4,2002,103,15,0
4222,7,5,4,2002,103,15,0
4378,8,5,4,2002,103,15,0
4702,9,5,4,2002,103,15,0
4896,10,5,4,2002,103,15,0
5039,11,5,4,2002,103,15,0
5023,12,5,4,2002,103,15,0
4990,13,5,4,2002,103,15,0
4904,14,5,4,2002,103,15,0
4789,15,5,4,2002,103,15,0
4727,16,5,4,2002,103,15,0
4721,17,5,4,2002,103,15,0
4775,18,5,4,2002,103,15,0
4719,19,5,4,2002,103,15,0
4768,20,5,4,2002,103,15,0
4993,21,5,4,2002,103,15,0
4902,22,5,4,2002,103,15,0
4603,23,5,4,2002,103,15,0
4291,0,6,4,2002,104,15,0
3979,1,6,4,2002,104,15,0
3780,2,6,4,2002,104,15,0
3750,3,6,4,2002,104,15,0
3727,4,6,4,2002,104,15,0
3704,5,6,4,2002,104,15,0
3770,6,6,4,2002,104,15,0
3894,7,6,4,2002,104,15,0
4027,8,6,4,2002,104,15,0
4305,9,6,4,2002,104,15,0
4531,10,6,4,2002,104,15,0
4622,11,6,4,2002,104,15,0
4657,12,6,4,2002,104,15,0
4712,13,6,4,2002,104,15,0
4655,14,6,4,2002,104,15,0
4636,15,6,4,2002,104,15,0
4650,16,6,4,2002,104,15,0
4730,17,6,4,2002,104,15,0
4776,18,6,4,2002,104,15,0
4774,19,6,4,2002,104,15,0
4927,20,6,4,2002,104,15,0
5161,21,6,4,2002,104,15,0
4948,22,6,4,2002,104,15,0
4626,23,6,4,2002,104,15,0
4301,0,0,4,2002,105,16,0
4134,1,0,4,2002,105,16,0
4030,2,0,4,2002,105,16,0
3983,3,0,4,2002,105,16,0
3993,4,0,4,2002,105,16,0
4072,5,0,4,2002,105,16,0
4382,6,0,4,2002,105,16,0
4939,7,0,4,2002,105,16,0
5295,8,0,4,2002,105,16,0
5333,9,0,4,2002,105,16,0
5485,10,0,4,2002,105,16,0
5574,11,0,4,2002,105,16,0
5585,12,0,4,2002,105,16,0
5567,13,0,4,2002,105,16,0
5612,14,0,4,2002,105,16,0
5608,15,0,4,2002,105,16,0
5598,16,0,4,2002,105,16,0
5607,17,0,4,2002,105,16,0
5598,18,0,4,2002,105,16,0
5564,19,0,4,2002,105,16,0
5605,20,0,4,2002,105,16,0
5944,21,0,4,2002,105,16,0
5790,22,0,4,2002,105,16,0
5313,23,0,4,2002,105,16,0
4883,0,1,4,2002,106,16,0
4569,1,1,4,2002,106,16,0
4405,2,1,4,2002,106,16,0
4293,3,1,4,2002,106,16,0
4190,4,1,4,2002,106,16,0
4253,5,1,4,2002,106,16,0
4511,6,1,4,2002,106,16,0
4986,7,1,4,2002,106,16,0
5230,8,1,4,2002,106,16,0
5398,9,1,4,2002,106,16,0
5614,10,1,4,2002,106,16,0
5800,11,1,4,2002,106,16,0
5918,12,1,4,2002,106,16,0
5973,13,1,4,2002,106,16,0
6050,14,1,4,2002,106,16,0
6177,15,1,4,2002,106,16,0
6152,16,1,4,2002,106,16,0
6206,17,1,4,2002,106,16,0
6223,18,1,4,2002,106,16,0
6229,19,1,4,2002,106,16,0
6213,20,1,4,2002,106,16,0
6515,21,1,4,2002,106,16,0
6317,22,1,4,2002,106,16,0
5799,23,1,4,2002,106,16,0
5216,0,2,4,2002,107,16,0
4807,1,2,4,2002,107,16,0
4594,2,2,4,2002,107,16,0
4483,3,2,4,2002,107,16,0
4417,4,2,4,2002,107,16,0
4416,5,2,4,2002,107,16,0
4659,6,2,4,2002,107,16,0
5125,7,2,4,2002,107,16,0
5391,8,2,4,2002,107,16,0
5614,9,2,4,2002,107,16,0
5775,10,2,4,2002,107,16,0
6034,11,2,4,2002,107,16,0
6198,12,2,4,2002,107,16,0
6324,13,2,4,2002,107,16,0
6441,14,2,4,2002,107,16,0
6508,15,2,4,2002,107,16,0
6531,16,2,4,2002,107,16,0
