,Forecast_MW
2018-08-12 18:00:00,6703.5234
2018-08-12 19:00:00,6579.7114
2018-08-12 20:00:00,6458.347
2018-08-12 21:00:00,6409.8306
2018-08-12 22:00:00,6233.145
2018-08-12 23:00:00,5866.058
2018-08-13 00:00:00,5643.3633
2018-08-13 01:00:00,5198.9673
2018-08-13 02:00:00,4954.1475
2018-08-13 03:00:00,4873.2715
2018-08-13 04:00:00,4852.3003
2018-08-13 05:00:00,4893.598
2018-08-13 06:00:00,5270.9727
2018-08-13 07:00:00,5672.8604
2018-08-13 08:00:00,5892.4277
2018-08-13 09:00:00,5969.8174
2018-08-13 10:00:00,6068.8613
2018-08-13 11:00:00,6341.5244
2018-08-13 12:00:00,6521.74
2018-08-13 13:00:00,6589.1143
2018-08-13 14:00:00,6638.8384
2018-08-13 15:00:00,6668.55
2018-08-13 16:00:00,6680.5864
2018-08-13 17:00:00,6608.38
2018-08-13 18:00:00,6556.0527
2018-08-13 19:00:00,6433.463
2018-08-13 20:00:00,6329.7817
2018-08-13 21:00:00,6235.375
2018-08-13 22:00:00,6002.606
2018-08-13 23:00:00,5651.1216
2018-08-14 00:00:00,5245.673
2018-08-14 01:00:00,4786.6807
2018-08-14 02:00:00,4526.7993
2018-08-14 03:00:00,4443.5034
2018-08-14 04:00:00,4462.5283
2018-08-14 05:00:00,4572.3706
2018-08-14 06:00:00,4859.1387
2018-08-14 07:00:00,5275.4546
2018-08-14 08:00:00,5528.714
2018-08-14 09:00:00,5685.3457
2018-08-14 10:00:00,5796.347
2018-08-14 11:00:00,6069.0835
2018-08-14 12:00:00,6261.5317
2018-08-14 13:00:00,6333.599
2018-08-14 14:00:00,6401.491
2018-08-14 15:00:00,6457.4536
2018-08-14 16:00:00,6500.8823
2018-08-14 17:00:00,6479.054
2018-08-14 18:00:00,6498.2437
2018-08-14 19:00:00,6375.9155
2018-08-14 20:00:00,6256.918
2018-08-14 21:00:00,6222.0366
2018-08-14 22:00:00,6026.2993
2018-08-14 23:00:00,5695.962
2018-08-15 00:00:00,5258.1616
2018-08-15 01:00:00,4787.6035
